iter	Passed	Remaining
0	165	165576
1	188	93963
2	209	69727
3	227	56670
4	245	48831
5	258	42839
6	269	38252
7	278	34570
8	288	31737
9	296	29366
10	305	27460
11	313	25801
12	321	24444
13	330	23266
14	338	22258
15	347	21344
16	355	20571
17	363	19837
18	372	19218
19	380	18627
20	389	18154
21	397	17682
22	407	17315
23	418	17017
24	426	16639
25	435	16323
26	443	15985
27	452	15705
28	460	15416
29	472	15263
30	482	15080
31	489	14821
32	499	14640
33	508	14433
34	516	14254
35	525	14076
36	534	13907
37	542	13734
38	550	13574
39	560	13443
40	568	13295
41	577	13173
42	585	13026
43	595	12944
44	603	12813
45	613	12714
46	621	12608
47	629	12486
48	638	12391
49	646	12280
50	655	12196
51	663	12091
52	672	12012
53	679	11912
54	689	11841
55	698	11772
56	708	11726
57	718	11669
58	726	11587
59	735	11516
60	743	11438
61	752	11379
62	759	11300
63	769	11256
64	778	11193
65	787	11146
66	795	11072
67	805	11042
68	813	10976
69	822	10921
70	829	10854
71	838	10806
72	846	10751
73	855	10703
74	863	10648
75	871	10601
76	879	10546
77	888	10501
78	896	10448
79	905	10413
80	912	10357
81	921	10314
82	928	10261
83	937	10227
84	945	10179
85	953	10138
86	961	10092
87	970	10054
88	978	10016
89	986	9975
90	994	9934
91	1003	9902
92	1011	9867
93	1020	9837
94	1028	9800
95	1036	9763
96	1044	9725
97	1052	9690
98	1061	9659
99	1069	9624
100	1078	9599
101	1085	9560
102	1094	9534
103	1103	9506
104	1113	9494
105	1123	9474
106	1133	9462
107	1141	9427
108	1149	9397
109	1157	9365
110	1166	9341
111	1174	9311
112	1182	9283
113	1191	9258
114	1201	9244
115	1211	9229
116	1219	9202
117	1228	9184
118	1236	9156
119	1245	9134
120	1253	9106
121	1262	9084
122	1269	9053
123	1278	9031
124	1286	9007
125	1297	8997
126	1304	8969
127	1313	8948
128	1321	8921
129	1329	8900
130	1339	8883
131	1348	8864
132	1357	8846
133	1364	8819
134	1374	8804
135	1381	8778
136	1390	8761
137	1398	8735
138	1407	8718
139	1414	8692
140	1425	8682
141	1433	8659
142	1442	8645
143	1450	8620
144	1458	8601
145	1466	8577
146	1475	8561
147	1482	8536
148	1491	8519
149	1499	8495
150	1509	8487
151	1518	8470
152	1527	8455
153	1536	8441
154	1543	8416
155	1553	8405
156	1562	8388
157	1571	8372
158	1578	8351
159	1588	8339
160	1596	8321
161	1606	8312
162	1616	8298
163	1625	8285
164	1635	8274
165	1643	8256
166	1652	8241
167	1660	8222
168	1668	8203
169	1677	8187
170	1685	8168
171	1694	8157
172	1703	8143
173	1713	8135
174	1722	8118
175	1733	8115
176	1742	8103
177	1752	8092
178	1764	8091
179	1773	8077
180	1785	8078
181	1798	8081
182	1808	8074
183	1818	8064
184	1830	8064
185	1839	8051
186	1849	8041
187	1859	8032
188	1867	8012
189	1877	8002
190	1886	7990
191	1895	7978
192	1903	7959
193	1912	7943
194	1919	7924
195	1928	7909
196	1936	7892
197	1945	7878
198	1953	7861
199	1961	7845
200	1969	7829
201	1979	7819
202	1990	7813
203	1998	7796
204	2007	7784
205	2014	7765
206	2024	7754
207	2032	7738
208	2041	7724
209	2050	7713
210	2061	7707
211	2070	7694
212	2080	7686
213	2092	7683
214	2102	7676
215	2113	7672
216	2125	7670
217	2134	7657
218	2145	7652
219	2157	7648
220	2165	7631
221	2176	7625
222	2184	7610
223	2195	7605
224	2207	7605
225	2223	7616
226	2234	7608
227	2247	7608
228	2263	7619
229	2276	7619
230	2306	7678
231	2319	7679
232	2331	7674
233	2343	7671
234	2355	7667
235	2364	7655
236	2376	7650
237	2389	7649
238	2401	7646
239	2409	7630
240	2422	7628
241	2434	7624
242	2443	7612
243	2456	7611
244	2471	7617
245	2485	7616
246	2495	7607
247	2506	7600
248	2520	7601
249	2532	7598
250	2541	7585
251	2552	7577
252	2561	7562
253	2571	7553
254	2583	7548
255	2592	7533
256	2604	7530
257	2617	7528
258	2626	7513
259	2637	7507
260	2650	7505
261	2662	7499
262	2672	7489
263	2684	7482
264	2692	7466
265	2701	7455
266	2712	7446
267	2720	7430
268	2733	7427
269	2747	7427
270	2760	7425
271	2771	7417
272	2783	7413
273	2796	7408
274	2806	7399
275	2818	7393
276	2830	7386
277	2838	7372
278	2850	7365
279	2861	7358
280	2869	7341
281	2879	7330
282	2886	7313
283	2896	7303
284	2905	7288
285	2913	7272
286	2923	7263
287	2932	7249
288	2942	7238
289	2949	7222
290	2959	7210
291	2967	7193
292	2977	7183
293	2984	7166
294	2993	7154
295	3001	7138
296	3010	7125
297	3019	7112
298	3029	7102
299	3040	7095
300	3050	7083
301	3063	7080
302	3075	7075
303	3084	7062
304	3095	7054
305	3107	7048
306	3116	7035
307	3127	7027
308	3138	7017
309	3145	7002
310	3157	6994
311	3166	6982
312	3179	6979
313	3191	6972
314	3200	6960
315	3211	6950
316	3223	6946
317	3234	6937
318	3246	6930
319	3258	6924
320	3271	6919
321	3281	6909
322	3290	6896
323	3298	6882
324	3306	6868
325	3317	6858
326	3326	6846
327	3336	6835
328	3344	6821
329	3356	6814
330	3366	6805
331	3377	6795
332	3388	6788
333	3401	6782
334	3410	6771
335	3424	6766
336	3436	6761
337	3446	6749
338	3453	6734
339	3466	6729
340	3521	6806
341	3534	6799
342	3548	6797
343	3558	6786
344	3566	6771
345	3577	6761
346	3585	6747
347	3593	6733
348	3601	6718
349	3610	6704
350	3617	6689
351	3629	6681
352	3640	6671
353	3648	6658
354	3659	6649
355	3668	6635
356	3679	6626
357	3690	6617
358	3699	6605
359	3711	6599
360	3724	6591
361	3732	6578
362	3742	6568
363	3750	6552
364	3761	6543
365	3772	6534
366	3779	6519
367	3789	6508
368	3797	6493
369	3806	6480
370	3813	6465
371	3823	6454
372	3831	6440
373	3839	6426
374	3847	6412
375	3856	6399
376	3863	6384
377	3873	6374
378	3881	6359
379	3891	6350
380	3902	6340
381	3911	6328
382	3921	6317
383	3929	6303
384	3938	6290
385	3945	6276
386	3956	6266
387	3963	6252
388	3975	6244
389	3986	6235
390	3995	6223
391	4007	6215
392	4019	6207
393	4028	6195
394	4039	6186
395	4048	6174
396	4056	6161
397	4066	6150
398	4074	6137
399	4086	6129
400	4095	6117
401	4106	6108
402	4117	6100
403	4126	6088
404	4138	6079
405	4150	6072
